,차종,엔진형식,과급방식,연료,배기량,최고출력,최대토크,연비,CO₂ 배출량,전장/전폭,전고/축거,윤거전/후,공차중량,전륜타이어,후륜타이어,구동방식,변속기,전륜서스펜션,후륜서스펜션,전륜제동장치,후륜제동장치,스티어링,출력,토크,주행거리,용량,타입,최고속도,가속성능
912,2022 BMW X4 M,I6,트윈터보,가솔린,"2,993cc",510hp,66.3kg.m,"복합 7.8km/ℓ 도심 6.8km/ℓ, 고속 9.3km/ℓ",222g/km,"4,755mm / 1,925mm","1,620mm / 2,865mm","1,617mm / 1,632mm","2,050kg",255mm / 40 / 21inch,265mm / 40 / 21inch,상시사륜 구동,토크컨버터8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.8초
913,2006 베르나 해치백,1.6 VVT,,가솔린,"1,599cc",112hp,14.8kg.m,"복합 13.2~14.9km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,045mm / 1,695mm","1,470mm / 2,500mm","1,470mm / 1,460mm","1,071~1,093kg",195mm / 55 / 15inch,195mm / 55 / 15inch,앞엔진 전륜 구동,"수동, 자동",맥퍼슨 스트럿,토션빔 액슬,디스크,드럼,랙 앤 피니언,,,,,,,
914,2026 BMW M3 투어링,I6,트윈터보,가솔린,"2,993cc",530hp,66.3kg.m,"복합 7.9km/ℓ 도심 7km/ℓ, 고속 9.4km/ℓ",217g/km,"4,800mm / 1,905mm","1,445mm / 2,855mm","1,617mm / 1,605mm","1,890kg",275mm / 35 / 19inch,285mm / 30 / 20inch,상시사륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.6초
915,2026 메르세데스-AMG CLE,I6,트윈터보,가솔린,"2,999cc",449hp,57.1kg.m,"복합 9.6km/ℓ 도심 8.3km/ℓ, 고속 11.9km/ℓ",179g/km,"4,855mm / 1,935mm","1,435mm / 2,875mm","1,661mm / 1,645mm","1,965kg",265mm / 35 / 20inch,295mm / 30 / 20inch,상시사륜 구동,자동9단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.2초
916,2024 스타리아,V6,자연흡기,LPG,"3,470cc",240hp,32kg.m,"복합 7km/ℓ 도심 6.2km/ℓ, 고속 8.2km/ℓ",189g/km,"5,255mm / 1,995mm","2,000mm / 3,275mm","1,732mm / 1,716mm","1,990~2,055kg",215mm / 65 / 17inch,215mm / 65 / 17inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
917,2011 BMW X3,디젤 4기통 터보,,디젤,"1,995cc",184hp,38.8kg.m,"복합 17.2km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",156g/km,"4,648mm / 1,881mm","1,675mm / 2,810mm","1,616mm / 1,632mm","1,735kg",225~245mm / 55~60 / 17inch,225~245mm / 55~60 / 17inch,상시사륜 구동,자동8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,210km/h,8.5초
918,2018 BMW 3시리즈 ,l4,싱글터보,디젤,"1,995cc",163~190hp,40.8kg.m,"복합 12.6~13.7km/ℓ 도심 11.3~12.3km/ℓ, 고속 14.7~15.8km/ℓ",138~152g/km,"4,633mm / 1,811mm","1,430mm / 2,810mm",,"1,600~1,675kg",225mm / 45~55 / 16~18inch,225~255mm / 40~55 / 16~18inch,"앞엔진 후륜 구동, 상시사륜 구동",자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,225~230km/h,7.2~7.8초
919,2025 아이오닉 5,,,전기,,,,"복합 5.1km/kWh 도심 5.7km/kWh, 고속 4.6km/kWh",,"4,655mm / 1,890mm","1,605mm / 3,000mm","1,638mm / 1,647mm","1,890kg",235mm / 55 / 19inch,235mm / 55 / 19inch,뒤엔진 후륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,124.9kW167.5hp (단순환산치),350Nm35.7kg.m (단순환산치),368km,63kWh,리튬 이온,,
920,2015 SM5,I4,자연흡기,가솔린,"1,998cc",141hp,19.8kg.m,"복합 12.6km/ℓ 도심 11.5km/ℓ, 고속 14.1km/ℓ",138g/km,"4,885mm / 1,860mm","1,485mm / 2,760mm","1,565mm / 1,565mm","1,415kg",205~225mm / 45~60 / 16~18inch,205~225mm / 45~60 / 16~18inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
921,2014 벨로스터,I4 직분사,자연흡기,가솔린,"1,591cc",140hp,17kg.m,"복합 12.4~13.6km/ℓ 도심 11.2~12.3km/ℓ, 고속 14.2~15.5km/ℓ",127~140g/km,"4,220mm / 1,790mm","1,400mm / 2,650mm","1,561mm / 1,574mm","1,185~1,235kg",215mm / 45 / 17inch,215mm / 45 / 17inch,앞엔진 전륜 구동,"수동6단, 자동6단, 토크컨버터6단, DCT6단",맥퍼슨 스트럿,토션빔 액슬,V디스크,디스크,랙 앤 피니언,,,,,,,
922,2024 XM3,I4,자연흡기,가솔린,"1,598cc",123hp,15.8kg.m,"복합 13.4~13.6km/ℓ 도심 12.1~12.3km/ℓ, 고속 15.4~15.6km/ℓ",121~123g/km,"4,570mm / 1,820mm","1,570mm / 2,720mm","1,565mm / 1,585mm","1,300kg",215mm / 60~65 / 16~17inch,215mm / 60~65 / 16~17inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,토션 빔,V디스크,디스크,랙 앤 피니언,,,,,,,
923,2024 G70,I4,싱글터보,가솔린,"2,497cc",304hp,43kg.m,"복합 11.2km/ℓ 도심 10km/ℓ, 고속 13.1km/ℓ",150g/km,"4,685mm / 1,850mm","1,400mm / 2,835mm","1,596mm / 1,632mm","1,660kg",225mm / 45 / 18inch,225mm / 45 / 18inch,앞엔진 후륜 구동,자동8단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
924,2022 셀토스,I4,싱글터보,가솔린,"1,591cc",177hp,27kg.m,"복합 11.8~12.7km/ℓ 도심 10.8~11.5km/ℓ, 고속 13.3~14.4km/ℓ",132~143g/km,"4,375mm / 1,800mm","1,600~1,620mm / 2,630mm","1,560~1,575mm / 1,568~1,584mm","1,345~1,385kg",205~235mm / 45~60 / 16~18inch,205~235mm / 45~60 / 16~18inch,앞엔진 전륜 구동,DCT7단,맥퍼슨 스트럿,CTBA,V디스크,디스크,랙 앤 피니언,,,,,,,
925,2014 쏘울,"1.6 GDi, 1.6 GDI",,가솔린,"1,591cc",132hp,16.4kg.m,"복합 11.5~11.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",0.0~152g/km,"4,140mm / 1,800mm","1,600~1,610mm / 2,570mm","0~1,575mm / 0~1,565mm","1,264~1,298kg",0~235mm / 0~60 / 0~18inch,0~235mm / 0~60 / 0~18inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,토션 빔,V디스크,디스크,랙 앤 피니언,,,,,,,
926,2006 클릭,1.5 VGT,,디젤,"1,493cc",112hp,24.5kg.m,"복합 20.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"3,825mm / 1,665mm","1,495mm / 2,455mm","1,450mm / 1,440mm","1,493kg",175mm / 65 / 14inch,175mm / 65 / 14inch,앞엔진 전륜 구동,수동5단,맥퍼슨 스트럿,토션빔 액슬,디스크,디스크,랙 앤 피니언,,,,,,,
927,2026 EV6 GT,,,전기,,,,"복합 3.8km/kWh 도심 3.9km/kWh, 고속 3.6km/kWh",,"4,695mm / 1,890mm","1,545mm / 2,900mm",,"2,190kg",255mm / 40 / 21inch,255mm / 40 / 21inch,상시사륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,478kW641.0hp (단순환산치),770Nm78.5kg.m (단순환산치),355km,84kWh,리튬 이온,,
928,2021 투싼 하이브리드,I4,싱글터보,가솔린,"1,598cc",180hp 합산 0~230hp,27kg.m 합산 0~35.7kg.m,"복합 16.2km/ℓ 도심 16.9km/ℓ, 고속 15.3km/ℓ",99g/km,"4,630mm / 1,865mm","1,665mm / 2,755mm","1,615~1,620mm / 1,622~1,627mm","1,590~1,600kg",225mm / 55~60 / 17~18inch,225mm / 55~60 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,디스크,디스크,랙 앤 피니언,,,,,,,
929,2021 BMW X3,I4,싱글터보,가솔린,"1,998cc",184hp,29.6kg.m,"복합 9.5km/ℓ 도심 8.7km/ℓ, 고속 10.6km/ℓ",181g/km,"4,710mm / 1,890mm","1,675mm / 2,864mm",,"1,905kg",245mm / 50 / 19inch,245mm / 50 / 19inch,상시사륜 구동,자동8단,더블 조인트 스트럿,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,210km/h,8.3초
930,2016 QM3 ,"I4 직분사 , I4 직분사 디젤",싱글터보,디젤,"1,461cc",90hp,22.4kg.m,"복합 17.7km/ℓ 도심 16.8km/ℓ, 고속 19km/ℓ",108g/km,"4,125mm / 1,780mm","1,565mm / 2,605mm","1,530mm / 1,515mm","1,305kg",205mm / 55 / 17inch,205mm / 55 / 17inch,앞엔진 전륜 구동,DCT6단,맥퍼슨 스트럿,토션빔 액슬,V디스크,"드럼 , 드럼",랙 앤 피니언,,,,,,,
931,2013 렉서스 GS F 스포츠,V6 3.5,,가솔린,"3,456cc",310hp,38.2kg.m,"복합 9.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",188g/km,"4,845mm / 1,840mm","1,455mm / 2,850mm","1,575mm / 1,560mm","1,720kg",235mm / 40 / 19inch,265mm / 35 / 19inch,앞엔진 후륜 구동,자동6단,더블 위시본,멀티 링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
932,2025 BMW 2시리즈,I6,싱글터보,가솔린,"2,998cc",387hp,51kg.m,"복합 9.6km/ℓ 도심 8.3km/ℓ, 고속 12km/ℓ",177g/km,"4,550mm / 1,840mm","1,405mm / 2,740mm","1,579mm / 1,569mm","1,725kg",225mm / 40 / 19inch,255mm / 35 / 19inch,상시사륜 구동,자동8단,더블 조인트,5링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,4.3초
933,2014 레이,I3 1.0,자연흡기,가솔린,998cc,78hp,9.6kg.m,"복합 13.5~14.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",117~126g/km,"3,595mm / 1,595mm","1,700mm / 2,520mm","1,410~1,416mm / 1,418~1,424mm","998~1,045kg",165~175mm / 50~60 / 14~15inch,165~175mm / 50~60 / 14~15inch,앞엔진 전륜 구동,"자동4단, CVT",맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,,
934,2013 BMW 5시리즈 투어링,I4 2.0,싱글터보,디젤,"1,995cc",184hp,38.8kg.m,"복합 16km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",121g/km,"4,907mm / 1,860mm","1,462mm / 2,968mm","1,600mm / 1,626mm","1,715kg",225mm / 55 / 17inch,225mm / 55 / 17inch,앞엔진 후륜 구동,자동8단,더블 위시본,멀티링크 코일스프링,V디스크,V디스크,랙 앤 피니언,,,,,,220km/h,7.3초
935,2016 메르세데스-AMG SLC,V6,트윈터보,가솔린,"2,996cc",367hp,53.1kg.m,"복합 9.5km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",178g/km,"4,140mm / 1,820mm","1,315mm / 2,430mm","1,565mm / 1,565mm",,,,앞엔진 후륜 구동,자동9단,3링크,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,250km/h,4.7초
936,2020 BMW X7,I6,싱글터보,디젤,"2,993cc",265hp,63.2kg.m,"복합 9.5km/ℓ 도심 8.7km/ℓ, 고속 10.6km/ℓ",206g/km,"5,150mm / 1,990mm","1,805mm / 3,105mm","1,684mm / 1,705mm","2,370kg",275mm / 40 / 22inch,315mm / 35 / 22inch,상시사륜 구동,자동8단,더블 위시본,5링크,V디스크,V디스크,렉 앤 피니언,,,,,,227km/h,7초
937,2025 렉서스 LS,V6,트윈터보,가솔린,"3,445cc",422hp,61.2kg.m,"복합 7.9km/ℓ 도심 6.5km/ℓ, 고속 10.7km/ℓ",220g/km,"5,235mm / 1,900mm","1,460mm / 3,125mm","1,635mm / 1,635mm","2,295~2,315kg",245mm / 45 / 20inch,245mm / 45 / 20inch,상시사륜 구동,자동10단,멀티링크,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,,
938,2019 모닝,l3,자연흡기,가솔린,998cc,76hp,9.7kg.m,"복합 14.7~16km/ℓ 도심 0~14.9km/ℓ, 고속 0~17.5km/ℓ",101~111g/km,"3,595mm / 1,595mm","1,485mm / 2,400mm","1,394~1,420mm / 1,403~1,423mm",890~955kg,155~195mm / 45~80 / 13~16inch,155~195mm / 45~80 / 13~16inch,앞엔진 전륜 구동,"수동5단, 자동4단",맥퍼슨 스트럿,토션빔,디스크,"드럼,디스크",랙 앤 피니언,,,,,,,
939,2013 렉서스 ES 하이브리드,I4 2.5,,가솔린,"2,494cc",158hp 합산 203hp,21.6kg.m,"복합 16.4km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",103g/km,"4,900mm / 1,820mm","1,450mm / 2,820mm","1,590mm / 1,575mm","1,685kg",215mm / 55 / 17inch,215mm / 55 / 17inch,앞엔진 전륜 구동,CVT,맥퍼슨 스트럿,듀얼 링크,V디스크,V디스크,랙 앤 피니언,,,,,,180km/h,8.1초
940,2023 K8 하이브리드,I4,싱글터보,가솔린,"1,598cc",180hp 합산 230hp,27kg.m 합산 35.7kg.m,"복합 17.1~18km/ℓ 도심 17.2~18.2km/ℓ, 고속 16.9~17.7km/ℓ",88~94g/km,"5,015mm / 1,875mm","1,455mm / 2,895mm","1,626~1,631mm / 1,632~1,638mm","1,630~1,650kg",225~245mm / 45~55 / 17~18inch,225~245mm / 45~55 / 17~18inch,앞엔진 전륜 구동,자동6단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,,,,,,,
941,1992 포텐샤,I4 2.2,,가솔린,"2,184cc",120hp,19kg.m,"복합 8.9km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,955mm / 1,725mm","1,430mm / 2,710mm","1,445mm / 1,460mm",,,,앞엔진 후륜 구동,자동4단,맥퍼슨 스트럿,멀티 링크,,,,,,,,,,
942,2023 BMW 8시리즈 그란쿠페,V8,트윈터보,가솔린,"4,395cc",530hp,76.5kg.m,"복합 7.7km/ℓ 도심 6.6km/ℓ, 고속 9.6km/ℓ",224g/km,"5,080mm / 1,930mm","1,405mm / 3,025mm","1,627mm / 1,671mm","2,120kg",245mm / 35 / 20inch,275mm / 30 / 20inch,상시사륜 구동,자동8단,더블 위시본,멀티링크,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,3.9초
943,2013 BMW 3시리즈 투어링,"I4 2.0, I4 직분사",싱글터보,디젤,"1,995cc",184hp,38.8kg.m,"복합 15.5~17.5km/ℓ 도심 0~14.2km/ℓ, 고속 0~17.3km/ℓ",110~126g/km,"4,624mm / 1,811mm","1,429mm / 2,810mm","1,543mm / 1,583mm","1,535~1,585kg",225~255mm / 50 / 17inch,225~255mm / 50 / 17inch,"앞엔진 후륜 구동, 상시사륜 구동",자동8단,맥퍼슨 스트럿,"멀티 링크,멀티링크",V디스크,V디스크,랙 앤 피니언,,,,,,222~226km/h,7.1~7.7초
944,2012 메르세데스-벤츠 CLS,V6 3.5,,가솔린,"3,498cc",306hp,37.7kg.m,"복합 10.1km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",176g/km,"4,945mm / 1,915mm","1,400mm / 2,875mm","1,605mm / 1,595mm","1,780kg",255mm / 40 / 18inch,285mm / 35 / 18inch,앞엔진 후륜 구동,자동7단,에어 스프링,에어 스프링,V디스크,V디스크,랙 앤 피니언,,,,,,250km/h,6.1초
945,2006 스타렉스,"D4BH, D4CB",,디젤,"2,476~2,497cc",103~145hp,24~33kg.m,"복합 10.6~10.9km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"5,035mm / 1,820mm","1,970mm / 3,080mm","1,570mm / 1,545mm","2,038~2,098kg",205mm / 70 / 15inch,205mm / 70 / 15inch,앞엔진 후륜 구동,수동5단,더블 위시본,리프 스프링,V디스크,"드럼,디스크",랙 앤 피니언,,,,,,149~165km/h,
946,2024 셀토스,I4,싱글터보,가솔린,"1,598cc",198hp,27kg.m,"복합 11.8~12.8km/ℓ 도심 10.6~11.5km/ℓ, 고속 13.5~14.6km/ℓ",130~142g/km,"4,390mm / 1,800mm","1,600~1,620mm / 2,630mm","1,560~1,575mm / 1,568~1,584mm","1,360~1,405kg",205~235mm / 45~60 / 16~18inch,205~235mm / 45~60 / 16~18inch,앞엔진 전륜 구동,자동8단,맥퍼슨 스트럿,CTBA,디스크,디스크,랙 앤 피니언,,,,,,,
947,2026 EV6,,,전기,,,,"복합 5.3km/kWh 도심 5.9km/kWh, 고속 4.7km/kWh",,"4,695mm / 1,880mm","1,550mm / 2,900mm",,"1,885kg",235mm / 55 / 19inch,235mm / 55 / 19inch,뒤엔진 후륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,디스크,랙 앤 피니언,125kW167.6hp (단순환산치),350Nm35.7kg.m (단순환산치),382km,62.9kWh,리튬 이온,,
948,2015 카렌스,I4 2.0,자연흡기,LPG,"1,999cc",154hp,19.8kg.m,"복합 9~9.5km/ℓ 도심 8~8.8km/ℓ, 고속 10.5~10.7km/ℓ",140~149g/km,"4,525mm / 1,805mm","1,610mm / 2,750mm","0~1,573mm / 0~1,586mm","1,500~1,520kg",0~225mm / 0~55 / 0~18inch,0~225mm / 0~55 / 0~18inch,앞엔진 전륜 구동,"수동6단, 자동6단",맥퍼슨 스트럿,토션빔,디스크,디스크,랙 앤 피니언,,,,,,,
949,1995 크레도스,2.0 DOHC,,가솔린,"1,998cc",148hp,19.4kg.m,"복합 12.6km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",,"4,710mm / 1,780mm","1,400mm / 2,665mm","1,505mm / 1,510mm","1,270kg",195mm / 65 / 14inch,195mm / 65 / 14inch,앞엔진 전륜 구동,수동5단,맥퍼슨 스트럿,듀얼링크 코일스프링,디스크,드럼,랙 앤 피니언,,,,,,198km/h,
950,2023 메르세데스-EQ EQA,,,전기,,,,"복합 4.9km/kWh 도심 5.5km/kWh, 고속 4.4km/kWh",,"4,465mm / 1,835mm","1,625mm / 2,729mm","1,603mm / 1,601mm","1,965kg",235mm / 55 / 18inch,235mm / 55 / 18inch,앞엔진 전륜 구동,자동1단,맥퍼슨 스트럿,멀티링크,V디스크,V디스크,랙 앤 피니언,140kW187.7hp (단순환산치),375Nm38.2kg.m (단순환산치),378km,66.5kWh,리튬 이온,160km/h,8.9초
951,2014 BMW M3,I6 직분사 트윈터보,트윈터보,가솔린,"2,979cc",431hp,56.1kg.m,"복합 12km/ℓ 도심 0km/ℓ, 고속 0km/ℓ",194g/km,"4,671mm / 1,870mm","1,424mm / 2,812mm","1,579mm / 1,603mm","1,560kg",255mm / 40 / 18inch,275mm / 40 / 18inch,앞엔진 후륜 구동,DCT7단,스트럿,멀티 링크,V디스크,V디스크,,,,,,,250km/h,4.1초
